model,learning_rate,dropout,batch_size,epochs_trained,best_epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1,test_loss,test_accuracy,test_precision,test_recall,test_f1
lstm,0.001,0.1,8,6,3,0.3878229293336038,0.8434439859579972,0.7890798493685683,0.8275244107855707,0.8040131514969178,0.473405569132185,0.8171888473699339,0.7552706588638887,0.7689559037707165,0.7615089117106864,0.4624929549022653,0.8160919540229885,0.7544706167202795,0.773418917770982,0.7627584443805324
lstm,0.001,0.1,16,6,3,0.381198987523536,0.8401182484449098,0.785974582182402,0.8302204110094114,0.8021753847520509,0.4916320605057346,0.8097154354699626,0.7461597978775483,0.7628217564785383,0.7535349060197849,0.476683179331922,0.8109195402298851,0.7492885491201045,0.7757921338769962,0.7600753395118774
lstm,0.001,0.1,32,8,5,0.2811367837524607,0.8842150643591796,0.837224501903767,0.8843299926967123,0.85557059644081,0.5399779617255294,0.805978729519977,0.7428084887955216,0.7669371742127066,0.7527674266682599,0.5293745290273908,0.8,0.7377925292529253,0.7693042813455657,0.749702380952381
lstm,0.001,0.3,8,6,3,0.3940720051323287,0.8409188889573197,0.7860125566130645,0.823266813280092,0.8005619792422387,0.4725080010413987,0.8094279965507329,0.7460495279618449,0.7645718388666234,0.754120935202556,0.4583280901456701,0.8120689655172414,0.7503926137131602,0.7753939432551817,0.7607280850340881
lstm,0.001,0.3,16,6,3,0.3945128790937401,0.8348832912483833,0.779980417123465,0.823744975685396,0.795875035546638,0.4886126922067125,0.8056912906007473,0.7417528089887641,0.7620871293865011,0.7504365601858808,0.4737987840655206,0.8074712643678161,0.7456588072122052,0.7742737003058104,0.7569985379891452
lstm,0.001,0.3,32,8,5,0.2999459565889881,0.8746073782102605,0.8259270815452615,0.8721188249539651,0.8437568967898623,0.5332612391645862,0.7987927565392354,0.7358779627255818,0.7660413145240449,0.7474195368442014,0.525259433258539,0.7931034482758621,0.7308333333333333,0.764717125382263,0.7430444798865852
lstm,0.001,0.5,8,6,3,0.3971935320904141,0.8414115908111104,0.7867186640161612,0.8252579941881155,0.8016196856126845,0.4678172334219128,0.8131647025007186,0.7506056290649055,0.7686095194559905,0.7585167083563993,0.4619228390098988,0.8172413793103448,0.7561632653061224,0.7776715936119606,0.7653908710540196
lstm,0.001,0.5,16,6,3,0.3993567750725156,0.8335283611504588,0.7783710160647248,0.8216795133711818,0.7941177432246891,0.4860000767115718,0.8071284851968956,0.7436135174837095,0.7645957579881006,0.7525401270050252,0.4736894634263269,0.8135057471264368,0.7523348873208798,0.778675033978933,0.7631181907571288
lstm,0.001,0.5,32,8,5,0.3187731606344904,0.8675247890620188,0.8177247201371786,0.8657456307770417,0.835767452498446,0.5251188533818046,0.8042540960045991,0.7411192593748375,0.7669551135538145,0.7515791330158412,0.5177577384586992,0.7985632183908046,0.7359589471249957,0.76679833503228,0.7476599522665328
lstm,0.0001,0.1,8,8,7,0.3805427611646904,0.8470776621297038,0.792988552860564,0.8250331775369124,0.8061601596960841,0.5099893412299799,0.7953434895084794,0.7306269320669521,0.7563711237734806,0.7408787315041002,0.4945777236045092,0.7959770114942529,0.7328490174829774,0.7631402905198776,0.7443375125616909
lstm,0.0001,0.1,16,8,7,0.4193400322139178,0.8323581942477059,0.7751679987148845,0.8048481051998774,0.7873342624257156,0.520783405180257,0.7870077608508192,0.7207220197937882,0.7457811542127775,0.7305940854492596,0.5062185950662897,0.796264367816092,0.7315036267476994,0.7559675501189262,0.7413925113756291
lstm,0.0001,0.1,32,8,7,0.4529067835079784,0.817207612243641,0.7567499015611002,0.7838772929732677,0.7678473107401788,0.5272295830766508,0.7870077608508192,0.7189595370078817,0.7384045414438645,0.7271023330126869,0.5169706613167949,0.789080459770115,0.7221299973032285,0.7434378185524975,0.7309110921112679
lstm,0.0001,0.3,8,8,7,0.3908439950123057,0.8443062142021309,0.789612734071665,0.820611766451288,0.8024059155468727,0.5126200750080393,0.7939062949123311,0.7288506008340709,0.7542507379491923,0.7389719266760671,0.4943916408494971,0.7971264367816092,0.7343937518751875,0.7654551053346925,0.7461061507936508
lstm,0.0001,0.3,16,7,4,0.507465603779328,0.7949128533596108,0.728395060685599,0.7474259652495598,0.7364973047184036,0.5397342594233899,0.7870077608508192,0.7196801391161964,0.7415104836623541,0.7285935750536009,0.5327351866097286,0.7795977011494253,0.7097915260265523,0.72782874617737,0.7173611094198034
lstm,0.0001,0.3,32,8,5,0.5068136044468369,0.77662129703763,0.7142726334420408,0.7511497452145734,0.7262320366268439,0.5444612053147195,0.8002299511353838,0.731882691245852,0.7254549948441005,0.7285234587739714,0.5392450657384149,0.796264367816092,0.7265808609901628,0.7203109072375127,0.7233025207605536
lstm,0.0001,0.5,8,8,7,0.4150861601817929,0.8370388618587178,0.7805780514144948,0.8061306541001425,0.791458348793231,0.5071594932232482,0.7913193446392641,0.7248084778326713,0.7467069128032856,0.7338159960340411,0.491562889636248,0.803448275862069,0.7395596426507558,0.7619085541963982,0.7488985724587627
lstm,0.0001,0.5,16,8,5,0.503889808519255,0.7956519061402969,0.7298213271183438,0.7510781581106878,0.7386878316605795,0.5358279602782553,0.7979304397815464,0.7288924161623065,0.7254789139655777,0.7271435563310005,0.5279507036866813,0.8025862068965517,0.7352989275974995,0.7291666666666667,0.7321029675011976
lstm,0.0001,0.5,32,8,5,0.5285700628390679,0.7817330787707089,0.7129345997921035,0.7331722113442449,0.7212575396771574,0.5510594712125395,0.7913193446392641,0.7199993730042502,0.717588704504945,0.7187717121367059,0.5507189554729681,0.7833333333333333,0.7090085076937809,0.7047336901121305,0.7067956209306037
distilbert,2e-05,0.1,8,5,4,0.2164693721601334,0.9545482539878056,0.940495526953976,0.9372539186949442,0.9388594628293028,0.9651391768791092,0.8571428571428571,0.8118433533268239,0.7970761531674232,0.8039632670706456,0.9927377666880632,0.839367816091954,0.784131700939023,0.7908384301732925,0.7873632339256925
distilbert,2e-05,0.1,16,5,3,0.2654209289826669,0.9159327461969576,0.8812550086621873,0.9003471522099014,0.8901354102388263,0.6004044710979461,0.8580051739005461,0.8142826597136605,0.7949318482216576,0.8037694960151629,0.6012382739234244,0.8390804597701149,0.7841936667890153,0.7863840044172612,0.785275978984195
distilbert,2e-05,0.1,32,5,5,0.1500912239601725,0.9496212354498984,0.9243650278543368,0.9452898125766046,0.9341360367881864,0.6624491702953687,0.8502443230813452,0.7988128818697078,0.8018068238595895,0.8002874885093294,0.647359139412299,0.8399425287356321,0.7842056469473315,0.8051732925586137,0.7934530820123482
distilbert,2e-05,0.3,8,5,4,0.4121711654970011,0.8935148118494796,0.8600521969045285,0.8513372645881321,0.8555513214678337,0.5999718191437841,0.8588674906582351,0.8168847947917715,0.792787543275892,0.8035599101857522,0.6049616063356228,0.8568965517241379,0.8120889472002153,0.7955211518858308,0.8031816379179937
distilbert,2e-05,0.3,16,5,4,0.3444589098074933,0.8735603867709553,0.8255621443189048,0.8539553028871615,0.8378718457700542,0.4562210871351625,0.8447829836159816,0.7903492405495887,0.8063284237121768,0.797654129507561,0.4597625974266008,0.8310344827586207,0.7738906062548796,0.8054493713897384,0.7865978297688435
distilbert,2e-05,0.3,32,5,4,0.3714349920242931,0.8506497505696865,0.7975609122757348,0.8364748423741647,0.8128134377681436,0.4337155061588441,0.8258120149468238,0.7694560004290398,0.8115729125694098,0.7846502553626149,0.4340219659366827,0.8169540229885057,0.7624273491597067,0.8131371049949032,0.7784347604632444
distilbert,2e-05,0.5,8,4,2,0.5420002428124293,0.788261378333436,0.7180852712726028,0.7280310148560372,0.7226575779237387,0.4952306930242375,0.8157516527737856,0.7545271629778671,0.7784828012657645,0.7645789832671368,0.490088476309146,0.8109195402298851,0.7507078832883288,0.7839311501868842,0.7633680555555555
distilbert,2e-05,0.5,16,5,3,0.5048986710247797,0.7897394838948082,0.7258358576405267,0.7566288885492599,0.7372540645832335,0.4653784225267321,0.7809715435469963,0.7285277952936455,0.7825328843625643,0.7413943061831292,0.4680501672728308,0.7755747126436782,0.726989719767995,0.7852265970098539,0.7385879412929927
distilbert,2e-05,0.5,32,4,2,0.558692611566265,0.737266736466096,0.6768774071762396,0.714999203299892,0.6858846676330119,0.4885062361866895,0.7568266743317045,0.7073469662042158,0.7610424396086477,0.7170080504472129,0.4828915990632156,0.7626436781609195,0.7178815383825246,0.7777883961943595,0.7269638318833994
distilbert,5e-05,0.1,8,5,3,0.3111256469184963,0.928927757590688,0.9075618655700908,0.9004210167617732,0.9039097463009852,0.6573073054409792,0.8562805403851681,0.8105638841013301,0.7961145158946992,0.8028609248706895,0.6889932284945215,0.8456896551724138,0.79432178324566,0.7880670234454639,0.791096341771375
distilbert,5e-05,0.1,16,4,2,0.3634764177462822,0.8730060971854406,0.8256262422819081,0.847597928839999,0.8355008933275867,0.4811775202885137,0.8536935901121012,0.8050595574287963,0.7990532457361952,0.8019704865392097,0.4834227465178775,0.8390804597701149,0.7833677340791256,0.7956857373428474,0.7891083464527392
distilbert,5e-05,0.1,32,5,3,0.2049827817477579,0.9308985650058508,0.8981135040365593,0.9256866993702776,0.9105724798108248,0.5986567070109641,0.8545559068697902,0.8081395726968229,0.7938029985719399,0.8004952559691377,0.6059725162626683,0.8379310344827586,0.7829064729867483,0.7829064729867483,0.7829064729867483
distilbert,5e-05,0.3,8,5,3,0.4266797137952771,0.8879719159943339,0.8529149227678638,0.8429103308538161,0.8477187892729541,0.5981670867466454,0.8654785858005174,0.8333976254768334,0.7894187121944997,0.8075255699147432,0.6123445850850522,0.8589080459770115,0.8221061889752912,0.7829064729867482,0.7992572890946218
distilbert,5e-05,0.3,16,5,3,0.3476086574307016,0.8769477120157665,0.8301087393691485,0.8557918511772331,0.8414483181018797,0.470031312576619,0.8502443230813452,0.7979270210515208,0.8076304655192575,0.8025393108285224,0.4807007816159862,0.8405172413793104,0.7849304701541955,0.8051679833503228,0.7939043096664044
distilbert,5e-05,0.3,32,5,4,0.2891386999423599,0.891051302580526,0.8461345355196468,0.8838019806151761,0.8618601996654884,0.4799157494925911,0.8528312733544122,0.8014259218918037,0.8101271345601184,0.8055876438625764,0.4837558551081296,0.8413793103448276,0.7859885403745053,0.808454383282365,0.7958090339961121
distilbert,5e-05,0.5,8,5,4,0.4536565348506891,0.8715279916240685,0.8306073784884314,0.8199150097080288,0.8250194269124878,0.621513850886303,0.8453578614544409,0.7938731047974745,0.7869103050662472,0.7902702627596939,0.5894145358118347,0.846551724137931,0.7940019855061553,0.7971670064559973,0.7955588686869042
distilbert,5e-05,0.5,16,5,3,0.4467436618395844,0.8273695879780748,0.7693648864671524,0.8003663925785127,0.7818342389197398,0.4422886016922937,0.8352974992814027,0.7785039246629211,0.787985558165988,0.7829927509561376,0.4353238443191024,0.8425287356321839,0.787550793990269,0.8045680428134556,0.7952680976199638
distilbert,5e-05,0.5,32,4,2,0.5094634539433328,0.7772987620865923,0.7165748311670697,0.7565077161157832,0.728926406406433,0.4512228564340241,0.8217878700776086,0.7627113702623907,0.7933673604983682,0.7749599577333949,0.4409923067038087,0.8204022988505747,0.7636513455584663,0.8061289500509684,0.7786772920561225
